CODE,CATEGORY
I0981,HF
I110,HF
I130,HF
I132,HF
I509,HF
I501,HF
I5020,HF
I5021,HF
I5022,HF
I5023,HF
I5030,HF
I5031,HF
I5032,HF
I5033,HF
I5040,HF
I5041,HF
I5042,HF
I5043,HF
I509,HF
I5030,HF_SYSTOLIC
I5031,HF_SYSTOLIC
I5032,HF_SYSTOLIC
I5033,HF_SYSTOLIC
I5020,HF_DIASTOLIC
I5021,HF_DIASTOLIC
I5022,HF_DIASTOLIC
I5023,HF_DIASTOLIC
I501,HF_LEFT
I50814,HF_UNSPECIFIED
I509,HF_UNSPECIFIED
I5040,HF_UNSPECIFIED
I5041,HF_UNSPECIFIED
I5042,HF_UNSPECIFIED
I5043,HF_UNSPECIFIED
I50810,HF_UNSPECIFIED
I50811,HF_UNSPECIFIED
I50812,HF_UNSPECIFIED
I50813,HF_UNSPECIFIED
I5082,HF_UNSPECIFIED
I5083,HF_UNSPECIFIED
I5084,HF_UNSPECIFIED
I5089,HF_UNSPECIFIED
I509,HF_UNSPECIFIED
Z95810,DX_DEFIBRILLATOR
H5700,DX_DEFIBRILLATOR
H5702,DX_DEFIBRILLATOR
H5703,DX_DEFIBRILLATOR
H5704,DX_DEFIBRILLATOR
H5701,DX_DEFIBRILLATOR
H57059,DX_DEFIBRILLATOR
H5709,DX_DEFIBRILLATOR
H5500,DX_DEFIBRILLATOR
H5501,DX_DEFIBRILLATOR
H5502,DX_DEFIBRILLATOR
H5503,DX_DEFIBRILLATOR
H5509,DX_DEFIBRILLATOR
H5504,DX_DEFIBRILLATOR
H5509,DX_DEFIBRILLATOR
H5581,DX_DEFIBRILLATOR
H5589,DX_DEFIBRILLATOR
H5589,DX_DEFIBRILLATOR
H5940,DX_DEFIBRILLATOR
H5941,DX_DEFIBRILLATOR
H5942,DX_DEFIBRILLATOR
H5943,DX_DEFIBRILLATOR
H578,DX_DEFIBRILLATOR
I4891,DX_AFIB
I4892,DX_AFIB
D500,DX_ANEMIA
D508,DX_ANEMIA
D501,DX_ANEMIA
D508,DX_ANEMIA
D509,DX_ANEMIA
D510,DX_ANEMIA
D511,DX_ANEMIA
D513,DX_ANEMIA
D518,DX_ANEMIA
D520,DX_ANEMIA
D521,DX_ANEMIA
D528,DX_ANEMIA
D529,DX_ANEMIA
D531,DX_ANEMIA
D530,DX_ANEMIA
D532,DX_ANEMIA
D538,DX_ANEMIA
D539,DX_ANEMIA
D580,DX_ANEMIA
D581,DX_ANEMIA
D550,DX_ANEMIA
D551,DX_ANEMIA
D558,DX_ANEMIA
D569,DX_ANEMIA
D5740,DX_ANEMIA
D57419,DX_ANEMIA
D560,DX_ANEMIA
D561,DX_ANEMIA
D562,DX_ANEMIA
D563,DX_ANEMIA
D565,DX_ANEMIA
D568,DX_ANEMIA
D573,DX_ANEMIA
D571,DX_ANEMIA
D571,DX_ANEMIA
D5700,DX_ANEMIA
D5720,DX_ANEMIA
D57219,DX_ANEMIA
D5780,DX_ANEMIA
D57819,DX_ANEMIA
D564,DX_ANEMIA
D582,DX_ANEMIA
D588,DX_ANEMIA
D589,DX_ANEMIA
D590,DX_ANEMIA
D591,DX_ANEMIA
D594,DX_ANEMIA
D593,DX_ANEMIA
D594,DX_ANEMIA
D595,DX_ANEMIA
D596,DX_ANEMIA
D598,DX_ANEMIA
D599,DX_ANEMIA
D6101,DX_ANEMIA
D6109,DX_ANEMIA
D61810,DX_ANEMIA
D61811,DX_ANEMIA
D61818,DX_ANEMIA
D6182,DX_ANEMIA
D600,DX_ANEMIA
D601,DX_ANEMIA
D608,DX_ANEMIA
D609,DX_ANEMIA
D611,DX_ANEMIA
D612,DX_ANEMIA
D6189,DX_ANEMIA
D619,DX_ANEMIA
D640,DX_ANEMIA
D641,DX_ANEMIA
D642,DX_ANEMIA
D643,DX_ANEMIA
D62,DX_ANEMIA
D631,DX_ANEMIA
D630,DX_ANEMIA
D638,DX_ANEMIA
D6481,DX_ANEMIA
D644,DX_ANEMIA
D6489,DX_ANEMIA
D649,DX_ANEMIA
33400,
33401,
33403,
33420,
33422,
33425,
33426,
33427,
33430,
33460,
33463,
33464,
33465,
33468,
33475,
33496,
33510,CPT_CABG
33511,CPT_CABG
33512,CPT_CABG
33513,CPT_CABG
33516,CPT_CABG
33517,CPT_CABG
33518,CPT_CABG
33519,CPT_CABG
33521,CPT_CABG
