ingredient1,ingredient2,ingredient3,ingredient4
furosemide,,,
hydrochlorothiazide,triamterene,,
digoxin,lanoxicaps,,
metoprolol,,,
hydrochlorothiazide,lisinopril,,
metoprolol,,,
enalapril,,,
enalapril,,,
nitroglycerin,,,
enalapril,hydrochlorothiazide,vaseretic,
hydrochlorothiazide,valsartan,,
digoxin,,,
atenolol,,,
atenolol,,,
timolol,,,
hydrochlorothiazide,,,
propranolol,,,
pindolol,,,
benazepril,,,
lisinopril,,,
lisinopril,,,
propranolol,,,
ranolazine,ranexa,,
lisinopril,,,
propranolol,,,
digoxin,,,
propranolol,,,
timolol,betimol,,
metoprolol,,,
diethylpropion,,,
nitroglycerin,nitrostat,,
metoprolol,,,
chlorthalidone,,,
atenolol,chlorthalidone,,
enalapril,,,
quinapril,,,
isosorbide dinitrate,,,
propranolol,,,
hydrochlorothiazide,losartan,,
isosorbide dinitrate,,,
amlodipine,benazepril,,
captopril,,,
metoprolol,,,
hydrochlorothiazide,reserpine,,
phentermine,,,
moexipril,,,
isosorbide dinitrate,,,
propranolol,,,
spironolactone,,,
spironolactone,,,
isosorbide dinitrate,,,
propranolol,inderal,,
nadolol,,,
isosorbide,,,
propranolol,,,
atenolol,,,
lisinopril,,,
enalaprilat,,,
hydrochlorothiazide,,,
propranolol,,,
furosemide,,,
captopril,,,
atenolol,,,
furosemide,,,
lisinopril,,,
propranolol,,,
metoprolol,,,
furosemide,lasix,,
lisinopril,,,
hydrochlorothiazide,losartan,,
labetalol,,,
chlorthalidone,,,
lisinopril,,,
hydrochlorothiazide,amlodipine,valsartan,
fosinopril,,,
isosorbide dinitrate,,,
furosemide,,,
hydrochlorothiazide,triamterene,,
hydrochlorothiazide,triamterene,,
nadolol,,,
benazepril,,,
diethylpropion,,,
atenolol,chlorthalidone,,
bumetanide,,,
chlorothiazide,,,
nitroglycerin,nitrostat,,
torsemide,,,
enalapril,,,
enalapril,,,
phentermine,,,
ramipril,,,
benzphetamine,,,
hydrochlorothiazide,methyldopa,,
hydrochlorothiazide,methyldopa,,
enalapril,,,
phentermine,,,
hydrochlorothiazide,losartan,,
labetalol,,,
benzphetamine,,,
lisinopril,,,
enalapril,,,
methyclothiazide,,,
carteolol,,,
hydrochlorothiazide,losartan,,
enalapril,,,
hydrochlorothiazide,,,
ramipril,,,
enalapril,,,
phendimetrazine,,,
phendimetrazine,,,
hydrochlorothiazide,triamterene,,
ramipril,,,
spironolactone,,,
furosemide,,,
hydrochlorothiazide,,,
metoprolol,toprol,,
furosemide,,,
hydrochlorothiazide,irbesartan,,
